Comb_Chamb.f_O.p_c;Comb_Chamb.AR
3e+006;55
3e+006;54
3e+006;53
3e+006;52
3e+006;51
3e+006;50
3e+006;49
3e+006;48
3e+006;47
3e+006;46
3e+006;45
3e+006;44
3e+006;43
3e+006;42
3e+006;41
3e+006;40
3e+006;39
3e+006;38
3e+006;37
3e+006;36
3e+006;35
3e+006;34
3e+006;33
3e+006;32
3e+006;31
3e+006;30
3e+006;29
3e+006;28
3e+006;27
3e+006;26
3e+006;25
3e+006;24
3e+006;23
3e+006;22
3e+006;21
3e+006;20
3e+006;19
3e+006;18
3e+006;17
3e+006;16
3e+006;15
3e+006;14
3e+006;13
3e+006;12
3e+006;11
3e+006;10
3e+006;9
3e+006;8
3e+006;7
3e+006;6
3e+006;5
4e+006;55
4e+006;54
4e+006;53
4e+006;52
4e+006;51
4e+006;50
4e+006;49
4e+006;48
4e+006;47
4e+006;46
4e+006;45
4e+006;44
4e+006;43
4e+006;42
4e+006;41
4e+006;40
4e+006;39
4e+006;38
4e+006;37
4e+006;36
4e+006;35
4e+006;34
4e+006;33
4e+006;32
4e+006;31
4e+006;30
4e+006;29
4e+006;28
4e+006;27
4e+006;26
4e+006;25
4e+006;24
4e+006;23
4e+006;22
4e+006;21
4e+006;20
4e+006;19
4e+006;18
4e+006;17
4e+006;16
4e+006;15
4e+006;14
4e+006;13
4e+006;12
4e+006;11
4e+006;10
4e+006;9
4e+006;8
4e+006;7
4e+006;6
4e+006;5
5e+006;55
5e+006;54
5e+006;53
5e+006;52
5e+006;51
5e+006;50
5e+006;49
5e+006;48
5e+006;47
5e+006;46
5e+006;45
5e+006;44
5e+006;43
5e+006;42
5e+006;41
5e+006;40
5e+006;39
5e+006;38
5e+006;37
5e+006;36
5e+006;35
5e+006;34
5e+006;33
5e+006;32
5e+006;31
5e+006;30
5e+006;29
5e+006;28
5e+006;27
5e+006;26
5e+006;25
5e+006;24
5e+006;23
5e+006;22
5e+006;21
5e+006;20
5e+006;19
5e+006;18
5e+006;17
5e+006;16
5e+006;15
5e+006;14
5e+006;13
5e+006;12
5e+006;11
5e+006;10
5e+006;9
5e+006;8
5e+006;7
5e+006;6
5e+006;5
6e+006;55
6e+006;54
6e+006;53
6e+006;52
6e+006;51
6e+006;50
6e+006;49
6e+006;48
6e+006;47
6e+006;46
6e+006;45
6e+006;44
6e+006;43
6e+006;42
6e+006;41
6e+006;40
6e+006;39
6e+006;38
6e+006;37
6e+006;36
6e+006;35
6e+006;34
6e+006;33
6e+006;32
6e+006;31
6e+006;30
6e+006;29
6e+006;28
6e+006;27
6e+006;26
6e+006;25
6e+006;24
6e+006;23
6e+006;22
6e+006;21
6e+006;20
6e+006;19
6e+006;18
6e+006;17
6e+006;16
6e+006;15
6e+006;14
6e+006;13
6e+006;12
6e+006;11
6e+006;10
6e+006;9
6e+006;8
6e+006;7
6e+006;6
6e+006;5
7e+006;55
7e+006;54
7e+006;53
7e+006;52
7e+006;51
7e+006;50
7e+006;49
7e+006;48
7e+006;47
7e+006;46
7e+006;45
7e+006;44
7e+006;43
7e+006;42
7e+006;41
7e+006;40
7e+006;39
7e+006;38
7e+006;37
7e+006;36
7e+006;35
7e+006;34
7e+006;33
7e+006;32
7e+006;31
7e+006;30
7e+006;29
7e+006;28
7e+006;27
7e+006;26
7e+006;25
7e+006;24
7e+006;23
7e+006;22
7e+006;21
7e+006;20
7e+006;19
7e+006;18
7e+006;17
7e+006;16
7e+006;15
7e+006;14
7e+006;13
7e+006;12
7e+006;11
7e+006;10
7e+006;9
7e+006;8
7e+006;7
7e+006;6
7e+006;5
8e+006;55
8e+006;54
8e+006;53
8e+006;52
8e+006;51
8e+006;50
8e+006;49
8e+006;48
8e+006;47
8e+006;46
8e+006;45
8e+006;44
8e+006;43
8e+006;42
8e+006;41
8e+006;40
8e+006;39
8e+006;38
8e+006;37
8e+006;36
8e+006;35
8e+006;34
8e+006;33
8e+006;32
8e+006;31
8e+006;30
8e+006;29
8e+006;28
8e+006;27
8e+006;26
8e+006;25
8e+006;24
8e+006;23
8e+006;22
8e+006;21
8e+006;20
8e+006;19
8e+006;18
8e+006;17
8e+006;16
8e+006;15
8e+006;14
8e+006;13
8e+006;12
8e+006;11
8e+006;10
8e+006;9
8e+006;8
8e+006;7
8e+006;6
8e+006;5
